order_date,product_name,category,region,quantity,unit_price,revenue
2024-11-01,Laptop Pro 15,Electronics,North America,12,1299.99,15599.88
2024-11-01,Office Chair Ergo,Furniture,Europe,25,449.50,11237.50
2024-11-02,Wireless Mouse,Electronics,North America,150,29.99,4498.50
2024-11-02,Standing Desk,Furniture,North America,8,699.00,5592.00
2024-11-03,Monitor 27 inch,Electronics,Europe,30,399.99,11999.70
2024-11-03,Desk Lamp LED,Furniture,Asia Pacific,45,59.95,2697.75
2024-11-04,Keyboard Mechanical,Electronics,North America,60,149.99,8999.40
2024-11-04,Bookshelf Oak,Furniture,Europe,10,289.00,2890.00
2024-11-05,Webcam HD,Electronics,Asia Pacific,80,79.99,6399.20
2024-11-05,Filing Cabinet,Furniture,North America,15,199.99,2999.85
2024-11-06,USB-C Hub,Electronics,Europe,100,49.99,4999.00
2024-11-06,Whiteboard Large,Furniture,Asia Pacific,12,159.00,1908.00
2024-11-07,Laptop Pro 15,Electronics,Europe,18,1299.99,23399.82
2024-11-07,Office Chair Ergo,Furniture,North America,30,449.50,13485.00
2024-11-08,Wireless Mouse,Electronics,Asia Pacific,200,29.99,5998.00
2024-11-08,Standing Desk,Furniture,Europe,5,699.00,3495.00
2024-11-09,Monitor 27 inch,Electronics,North America,22,399.99,8799.78
2024-11-09,Desk Lamp LED,Furniture,North America,55,59.95,3297.25
2024-11-10,Keyboard Mechanical,Electronics,Asia Pacific,40,149.99,5999.60
2024-11-10,Bookshelf Oak,Furniture,Asia Pacific,7,289.00,2023.00
